keyword_asset_id,keyword,traffic_word_type,source_sheet,source_row,row_layout
kw_0049,auto battery jump starter portable,SP广告词,5.关键词库,50,rich_top_asin_col33
kw_0050,battery booster jump starter,自然搜索词,5.关键词库,51,rich_top_asin_col33
kw_0050,battery booster jump starter,品牌广告词,5.关键词库,51,rich_top_asin_col33
kw_0050,battery booster jump starter,视频广告词,5.关键词库,51,rich_top_asin_col33
kw_0050,battery booster jump starter,SP广告词,5.关键词库,51,rich_top_asin_col33
kw_0051,car battery jump starter portable,自然搜索词,5.关键词库,52,rich_top_asin_col33
kw_0051,car battery jump starter portable,HR推荐词,5.关键词库,52,rich_top_asin_col33
kw_0051,car battery jump starter portable,品牌广告词,5.关键词库,52,rich_top_asin_col33
kw_0051,car battery jump starter portable,视频广告词,5.关键词库,52,rich_top_asin_col33
kw_0051,car battery jump starter portable,SP广告词,5.关键词库,52,rich_top_asin_col33
kw_0052,tire inflator and battery jumper,自然搜索词,5.关键词库,53,rich_top_asin_col33
kw_0052,tire inflator and battery jumper,品牌广告词,5.关键词库,53,rich_top_asin_col33
kw_0052,tire inflator and battery jumper,视频广告词,5.关键词库,53,rich_top_asin_col33
kw_0053,battery jumper,自然搜索词,5.关键词库,54,rich_top_asin_col33
kw_0053,battery jumper,品牌广告词,5.关键词库,54,rich_top_asin_col33
kw_0053,battery jumper,视频广告词,5.关键词库,54,rich_top_asin_col33
kw_0053,battery jumper,SP广告词,5.关键词库,54,rich_top_asin_col33
kw_0054,portable car charger,自然搜索词,5.关键词库,55,rich_top_asin_col33
kw_0054,portable car charger,品牌广告词,5.关键词库,55,rich_top_asin_col33
kw_0054,portable car charger,视频广告词,5.关键词库,55,rich_top_asin_col33
kw_0055,jump pack for car battery,自然搜索词,5.关键词库,56,rich_top_asin_col33
kw_0055,jump pack for car battery,HR推荐词,5.关键词库,56,rich_top_asin_col33
kw_0055,jump pack for car battery,品牌广告词,5.关键词库,56,rich_top_asin_col33
kw_0055,jump pack for car battery,视频广告词,5.关键词库,56,rich_top_asin_col33
kw_0055,jump pack for car battery,SP广告词,5.关键词库,56,rich_top_asin_col33
kw_0056,jumpbox,自然搜索词,5.关键词库,57,rich_top_asin_col33
kw_0056,jumpbox,HR推荐词,5.关键词库,57,rich_top_asin_col33
kw_0056,jumpbox,品牌广告词,5.关键词库,57,rich_top_asin_col33
kw_0056,jumpbox,视频广告词,5.关键词库,57,rich_top_asin_col33
kw_0056,jumpbox,SP广告词,5.关键词库,57,rich_top_asin_col33
kw_0057,compresor de aire para carro,自然搜索词,5.关键词库,58,rich_top_asin_col33
kw_0058,jump starters & battery chargers,自然搜索词,5.关键词库,59,rich_top_asin_col33
kw_0058,jump starters & battery chargers,HR推荐词,5.关键词库,59,rich_top_asin_col33
kw_0058,jump starters & battery chargers,品牌广告词,5.关键词库,59,rich_top_asin_col33
kw_0058,jump starters & battery chargers,视频广告词,5.关键词库,59,rich_top_asin_col33
kw_0058,jump starters & battery chargers,SP广告词,5.关键词库,59,rich_top_asin_col33
kw_0059,car battery booster jump starter,自然搜索词,5.关键词库,60,rich_top_asin_col33
kw_0059,car battery booster jump starter,品牌广告词,5.关键词库,60,rich_top_asin_col33
kw_0059,car battery booster jump starter,视频广告词,5.关键词库,60,rich_top_asin_col33
kw_0060,portable battery charger car jumper,自然搜索词,5.关键词库,61,rich_top_asin_col33
kw_0060,portable battery charger car jumper,品牌广告词,5.关键词库,61,rich_top_asin_col33
kw_0060,portable battery charger car jumper,视频广告词,5.关键词库,61,rich_top_asin_col33
kw_0061,jump start,自然搜索词,5.关键词库,62,rich_top_asin_col33
kw_0061,jump start,HR推荐词,5.关键词库,62,rich_top_asin_col33
kw_0061,jump start,品牌广告词,5.关键词库,62,rich_top_asin_col33
kw_0061,jump start,视频广告词,5.关键词库,62,rich_top_asin_col33
kw_0061,jump start,SP广告词,5.关键词库,62,rich_top_asin_col33
kw_0062,jump starter with air compressor,自然搜索词,5.关键词库,63,rich_top_asin_col33
